,pdb,natoms,parKVFinder_01,parKVFinder_02,parKVFinder_04,parKVFinder_08,parKVFinder_12,parKVFinder_16,parKVFinder_20,parKVFinder_24,pyKVFinder_01,pyKVFinder_02,pyKVFinder_04,pyKVFinder_08,pyKVFinder_12,pyKVFinder_16,pyKVFinder_20,pyKVFinder_24,pyKVFinder-depth_01,pyKVFinder-depth_02,pyKVFinder-depth_04,pyKVFinder-depth_08,pyKVFinder-depth_12,pyKVFinder-depth_16,pyKVFinder-depth_20,pyKVFinder-depth_24,pyKVFinder-hydropathy_01,pyKVFinder-hydropathy_02,pyKVFinder-hydropathy_04,pyKVFinder-hydropathy_08,pyKVFinder-hydropathy_12,pyKVFinder-hydropathy_16,pyKVFinder-hydropathy_20,pyKVFinder-hydropathy_24
241,2BK9_A,2261,3.0892,1.95,1.254,0.9663,0.8921,0.8537,0.8215,0.7956,2.8019,1.742,1.1635,0.9555,0.83,0.7874,0.73,0.8078,2.8019,1.742,1.1635,0.9555,0.83,0.7874,0.73,0.8078,2.8019,1.742,1.1635,0.9555,0.83,0.7874,0.73,0.8078
242,2BKJ_A,1703,5.0424,3.0439,1.8343,1.4552,1.2906,1.2065,1.1579,1.125,4.1049,2.5787,1.6654,1.4151,1.2767,1.1231,1.0202,0.9933,4.1049,2.5787,1.6654,1.4151,1.2767,1.1231,1.0202,0.9933,4.1049,2.5787,1.6654,1.4151,1.2767,1.1231,1.0202,0.9933
243,2BKR_A,1655,4.0302,2.4795,1.4879,1.2379,1.0996,1.0397,0.9925,0.9633,3.3553,2.0887,1.3605,1.1959,1.0612,0.9311,0.8689,0.8324,3.3553,2.0887,1.3605,1.1959,1.0612,0.9311,0.8689,0.8324,3.3553,2.0887,1.3605,1.1959,1.0612,0.9311,0.8689,0.8324
244,2BL8_A,773,2.587,1.5085,0.8674,0.6927,0.5957,0.5581,0.5267,0.496,2.3252,1.4411,1.0203,0.844,0.7725,0.6655,0.6534,0.6842,2.3252,1.4411,1.0203,0.844,0.7725,0.6655,0.6534,0.6842,2.3252,1.4411,1.0203,0.844,0.7725,0.6655,0.6534,0.6842
245,2BOJ_C,826,2.2805,1.297,0.7588,0.5844,0.5082,0.4693,0.437,0.4155,2.1599,1.3505,0.9484,0.8024,0.6901,0.6363,0.612,0.606,2.1599,1.3505,0.9484,0.8024,0.6901,0.6363,0.612,0.606,2.1599,1.3505,0.9484,0.8024,0.6901,0.6363,0.612,0.606
246,2BOL_A,2401,7.587,4.5091,2.9021,2.1722,1.9155,1.8136,1.7869,1.6955,5.8462,3.6041,2.2632,1.8663,1.7164,1.5593,1.457,1.3855,5.8462,3.6041,2.2632,1.8663,1.7164,1.5593,1.457,1.3855,5.8462,3.6041,2.2632,1.8663,1.7164,1.5593,1.457,1.3855
247,2BPS_A,649,1.5855,0.8926,0.5395,0.3748,0.3416,0.3298,0.3147,0.3019,1.5919,1.0153,0.7167,0.6039,0.5397,0.5099,0.4995,0.4996,1.5919,1.0153,0.7167,0.6039,0.5397,0.5099,0.4995,0.4996,1.5919,1.0153,0.7167,0.6039,0.5397,0.5099,0.4995,0.4996
248,2BRF_A,755,2.0809,1.1768,0.6947,0.5326,0.4631,0.4328,0.4139,0.3913,1.9823,1.2342,0.8494,0.7038,0.6514,0.5981,0.5631,0.571,1.9823,1.2342,0.8494,0.7038,0.6514,0.5981,0.5631,0.571,1.9823,1.2342,0.8494,0.7038,0.6514,0.5981,0.5631,0.571
249,2C1I_A,3084,9.3245,5.8212,3.7461,2.997,2.6349,2.4453,2.3653,2.3428,7.1701,4.4356,2.8722,2.4807,2.1609,1.9929,1.9104,1.8524,7.1701,4.4356,2.8722,2.4807,2.1609,1.9929,1.9104,1.8524,7.1701,4.4356,2.8722,2.4807,2.1609,1.9929,1.9104,1.8524
250,2C1L_A,2821,6.8611,4.2594,2.7951,2.1671,1.9705,1.9675,1.9073,1.837,5.2466,3.252,2.2205,1.8126,1.6096,1.4047,1.3334,1.2826,5.2466,3.252,2.2205,1.8126,1.6096,1.4047,1.3334,1.2826,5.2466,3.252,2.2205,1.8126,1.6096,1.4047,1.3334,1.2826
251,2C27_A,2273,5.8907,3.6619,2.2612,1.7297,1.613,1.5203,1.4458,1.4005,4.8551,3.0145,1.9551,1.6646,1.4829,1.3137,1.2496,1.262,4.8551,3.0145,1.9551,1.6646,1.4829,1.3137,1.2496,1.262,4.8551,3.0145,1.9551,1.6646,1.4829,1.3137,1.2496,1.262
252,2C3F_A,2405,14.3806,8.2828,4.7467,3.4436,2.8703,2.5945,2.4778,2.3912,10.8352,6.2789,4.0493,3.2671,2.713,2.4794,2.2786,2.1678,10.8352,6.2789,4.0493,3.2671,2.713,2.4794,2.2786,2.1678,10.8352,6.2789,4.0493,3.2671,2.713,2.4794,2.2786,2.1678
253,2C91_I,2547,5.2307,3.3431,2.0674,1.7178,1.579,1.4905,1.4596,1.4027,4.2368,2.6259,1.6458,1.3773,1.2863,1.1453,1.0766,1.0459,4.2368,2.6259,1.6458,1.3773,1.2863,1.1453,1.0766,1.0459,4.2368,2.6259,1.6458,1.3773,1.2863,1.1453,1.0766,1.0459
254,2CAY_A,1077,2.8121,1.6505,0.9405,0.7641,0.6572,0.6139,0.6249,0.5582,2.5253,1.5445,1.0233,0.8981,0.7922,0.7491,0.675,0.6512,2.5253,1.5445,1.0233,0.8981,0.7922,0.7491,0.675,0.6512,2.5253,1.5445,1.0233,0.8981,0.7922,0.7491,0.675,0.6512
255,2CC3_A,1145,3.5414,2.1331,1.2645,1.0123,0.8897,0.8267,0.7832,0.7619,3.0779,1.9317,1.3105,1.1076,0.9824,0.8742,0.8277,0.7914,3.0779,1.9317,1.3105,1.1076,0.9824,0.8742,0.8277,0.7914,3.0779,1.9317,1.3105,1.1076,0.9824,0.8742,0.8277,0.7914
256,2CDY_C,1624,3.5985,2.2373,1.4027,1.0986,0.9766,0.9166,0.8769,0.844,3.1042,1.9377,1.2969,1.12,0.979,0.8721,0.8199,0.7682,3.1042,1.9377,1.2969,1.12,0.979,0.8721,0.8199,0.7682,3.1042,1.9377,1.2969,1.12,0.979,0.8721,0.8199,0.7682
257,2CH7_A,2328,13.2582,8.0685,4.7029,3.9671,3.3582,3.0703,2.8785,2.7519,10.1221,6.1262,4.0705,3.2267,3.0351,2.7389,2.5167,2.3821,10.1221,6.1262,4.0705,3.2267,3.0351,2.7389,2.5167,2.3821,10.1221,6.1262,4.0705,3.2267,3.0351,2.7389,2.5167,2.3821
258,2CHN_B,5178,13.9879,9.4218,6.4935,5.6046,5.1565,4.9547,4.8114,4.9494,9.6111,5.8565,3.7721,3.2196,2.8004,2.5359,2.3941,2.3223,9.6111,5.8565,3.7721,3.2196,2.8004,2.5359,2.3941,2.3223,9.6111,5.8565,3.7721,3.2196,2.8004,2.5359,2.3941,2.3223
259,2CIU_A,1002,3.6358,2.1894,1.2583,0.9923,0.8607,0.8184,0.781,0.7501,3.1008,1.9502,1.2973,1.1259,1.0043,0.9042,0.8391,0.798,3.1008,1.9502,1.2973,1.1259,1.0043,0.9042,0.8391,0.798,3.1008,1.9502,1.2973,1.1259,1.0043,0.9042,0.8391,0.798
260,2CKX_A,677,1.9392,1.0923,0.6455,0.4948,0.4331,0.4063,0.3846,0.368,1.8616,1.1598,0.8193,0.6789,0.6097,0.5948,0.5507,0.5268,1.8616,1.1598,0.8193,0.6789,0.6097,0.5948,0.5507,0.5268,1.8616,1.1598,0.8193,0.6789,0.6097,0.5948,0.5507,0.5268
261,2CLB_A,1372,3.8885,2.3484,1.4539,1.1735,1.0338,0.9566,0.9074,0.8687,3.3399,2.1114,1.4215,1.2397,1.0821,0.9705,0.8925,0.8265,3.3399,2.1114,1.4215,1.2397,1.0821,0.9705,0.8925,0.8265,3.3399,2.1114,1.4215,1.2397,1.0821,0.9705,0.8925,0.8265
262,2CN2_B,5421,11.3657,7.6051,5.3776,4.5478,4.2114,4.0272,3.9846,4.0218,7.9146,4.8953,3.1882,2.538,2.2306,2.0392,1.957,1.8692,7.9146,4.8953,3.1882,2.538,2.2306,2.0392,1.957,1.8692,7.9146,4.8953,3.1882,2.538,2.2306,2.0392,1.957,1.8692
263,2CO5_A,777,2.3609,1.3483,0.792,0.5618,0.5061,0.4794,0.4504,0.4389,2.1669,1.3405,0.9895,0.7873,0.6894,0.6618,0.598,0.5867,2.1669,1.3405,0.9895,0.7873,0.6894,0.6618,0.598,0.5867,2.1669,1.3405,0.9895,0.7873,0.6894,0.6618,0.598,0.5867
264,2CO6_A,923,2.6214,1.5359,0.9015,0.692,0.6022,0.5676,0.5326,0.5182,2.3721,1.4764,1.0081,0.8425,0.7687,0.7072,0.6587,0.6255,2.3721,1.4764,1.0081,0.8425,0.7687,0.7072,0.6587,0.6255,2.3721,1.4764,1.0081,0.8425,0.7687,0.7072,0.6587,0.6255
265,2CX0_A,1442,3.4017,2.0648,1.249,0.9768,0.8643,0.8104,0.775,0.7529,3.0004,1.8846,1.2662,1.093,0.9614,0.9016,0.84,0.7985,3.0004,1.8846,1.2662,1.093,0.9614,0.9016,0.84,0.7985,3.0004,1.8846,1.2662,1.093,0.9614,0.9016,0.84,0.7985
266,2CZR_A,1830,5.162,3.0944,1.848,1.4643,1.2887,1.1907,1.1486,1.1024,4.2147,2.5873,1.6808,1.4055,1.3367,1.1789,1.155,1.0705,4.2147,2.5873,1.6808,1.4055,1.3367,1.1789,1.155,1.0705,4.2147,2.5873,1.6808,1.4055,1.3367,1.1789,1.155,1.0705
267,2D3Y_A,1714,3.4616,2.1417,1.3459,1.0746,0.9626,0.9596,0.8803,0.8587,3.029,1.8959,1.2675,1.0265,0.9002,0.8311,0.774,0.7257,3.029,1.8959,1.2675,1.0265,0.9002,0.8311,0.774,0.7257,3.029,1.8959,1.2675,1.0265,0.9002,0.8311,0.774,0.7257
268,2D5W_A,4849,9.7552,6.5536,4.6592,3.9402,3.6754,3.5855,3.5168,3.6212,6.8101,4.2336,2.7003,2.2864,1.9755,1.7998,1.6584,1.6238,6.8101,4.2336,2.7003,2.2864,1.9755,1.7998,1.6584,1.6238,6.8101,4.2336,2.7003,2.2864,1.9755,1.7998,1.6584,1.6238
269,2D81_A,2355,4.2941,2.7234,1.6934,1.3463,1.224,1.1859,1.1485,1.1098,3.6082,2.29,1.4735,1.2537,1.1188,0.9903,0.9014,0.8651,3.6082,2.29,1.4735,1.2537,1.1188,0.9903,0.9014,0.8651,3.6082,2.29,1.4735,1.2537,1.1188,0.9903,0.9014,0.8651
270,2D9Q_B,2331,9.696,5.9629,3.7237,3.0009,2.5936,2.3925,2.256,2.2264,7.5834,4.7579,3.0727,2.9217,2.551,2.3263,2.2203,2.0966,7.5834,4.7579,3.0727,2.9217,2.551,2.3263,2.2203,2.0966,7.5834,4.7579,3.0727,2.9217,2.551,2.3263,2.2203,2.0966
271,2D9R_A,669,1.8207,1.0257,0.6137,0.4341,0.3745,0.359,0.3453,0.3374,1.7539,1.093,0.7831,0.6495,0.6009,0.5695,0.536,0.5093,1.7539,1.093,0.7831,0.6495,0.6009,0.5695,0.536,0.5093,1.7539,1.093,0.7831,0.6495,0.6009,0.5695,0.536,0.5093
272,2DLA_A,1841,5.2021,3.1658,1.8573,1.5189,1.3737,1.2884,1.2226,1.1788,4.2545,2.6838,1.7654,1.5428,1.4059,1.2443,1.1184,1.0539,4.2545,2.6838,1.7654,1.5428,1.4059,1.2443,1.1184,1.0539,4.2545,2.6838,1.7654,1.5428,1.4059,1.2443,1.1184,1.0539
273,2E24_A,5689,11.0913,7.4082,5.3504,4.5076,4.1571,3.9587,3.9169,3.9602,7.7849,4.7688,2.9829,2.5304,2.2012,2.0139,1.8931,1.7825,7.7849,4.7688,2.9829,2.5304,2.2012,2.0139,1.8931,1.7825,7.7849,4.7688,2.9829,2.5304,2.2012,2.0139,1.8931,1.7825
274,2E2M_J,1932,5.2654,3.2559,1.9116,1.5441,1.3846,1.2891,1.2438,1.1804,4.2665,2.6048,1.6643,1.3841,1.3052,1.1438,1.0808,1.0325,4.2665,2.6048,1.6643,1.3841,1.3052,1.1438,1.0808,1.0325,4.2665,2.6048,1.6643,1.3841,1.3052,1.1438,1.0808,1.0325
275,2E2O_A,2256,5.3035,3.3543,1.991,1.6429,1.5702,1.4913,1.4237,1.3734,4.2842,2.7199,1.7485,1.5032,1.3681,1.2144,1.1238,1.0372,4.2842,2.7199,1.7485,1.5032,1.3681,1.2144,1.1238,1.0372,4.2842,2.7199,1.7485,1.5032,1.3681,1.2144,1.1238,1.0372
276,2E3H_A,620,2.0018,1.1201,0.6245,0.4714,0.4322,0.3938,0.3738,0.3524,1.8778,1.1884,0.8237,0.702,0.6261,0.6114,0.5588,0.5494,1.8778,1.1884,0.8237,0.702,0.6261,0.6114,0.5588,0.5494,1.8778,1.1884,0.8237,0.702,0.6261,0.6114,0.5588,0.5494
277,2E4P_B,820,2.1961,1.2661,0.7353,0.6041,0.5461,0.505,0.4842,0.4568,2.1531,1.2739,0.8788,0.7477,0.6607,0.6283,0.5869,0.5766,2.1531,1.2739,0.8788,0.7477,0.6607,0.6283,0.5869,0.5766,2.1531,1.2739,0.8788,0.7477,0.6607,0.6283,0.5869,0.5766
278,2E7S_G,905,6.4053,3.7578,2.1615,1.6894,1.479,1.3547,1.2527,1.1718,5.1691,3.1416,2.124,1.847,1.7154,1.5574,1.475,1.4489,5.1691,3.1416,2.124,1.847,1.7154,1.5574,1.475,1.4489,5.1691,3.1416,2.124,1.847,1.7154,1.5574,1.475,1.4489
279,2E7Y_A,2233,6.241,3.9613,2.4269,1.8826,1.6772,1.631,1.5908,1.5146,4.8665,3.0964,2.0275,1.695,1.4307,1.3902,1.2833,1.2177,4.8665,3.0964,2.0275,1.695,1.4307,1.3902,1.2833,1.2177,4.8665,3.0964,2.0275,1.695,1.4307,1.3902,1.2833,1.2177
280,2EI9_A,1659,3.5649,2.237,1.4214,1.1118,1.0526,0.9876,0.9532,0.9172,3.1203,1.9474,1.3369,1.1064,0.9897,0.9122,0.8511,0.7776,3.1203,1.9474,1.3369,1.1064,0.9897,0.9122,0.8511,0.7776,3.1203,1.9474,1.3369,1.1064,0.9897,0.9122,0.8511,0.7776
281,2EIJ_E,851,2.5125,1.4703,0.8704,0.6752,0.5964,0.5535,0.5273,0.5041,2.3253,1.3964,0.9338,0.7976,0.7102,0.6553,0.6336,0.6003,2.3253,1.3964,0.9338,0.7976,0.7102,0.6553,0.6336,0.6003,2.3253,1.3964,0.9338,0.7976,0.7102,0.6553,0.6336,0.6003
282,2EIJ_H,661,2.4333,1.3734,0.7934,0.5828,0.4975,0.4654,0.44,0.4097,2.1755,1.3376,0.9003,0.7629,0.6848,0.6418,0.6232,0.6007,2.1755,1.3376,0.9003,0.7629,0.6848,0.6418,0.6232,0.6007,2.1755,1.3376,0.9003,0.7629,0.6848,0.6418,0.6232,0.6007
283,2EYU_A,1941,4.5292,2.9008,1.8343,1.5748,1.4262,1.3906,1.2973,1.2617,3.6889,2.3231,1.5415,1.2763,1.137,0.9983,0.9343,0.8663,3.6889,2.3231,1.5415,1.2763,1.137,0.9983,0.9343,0.8663,3.6889,2.3231,1.5415,1.2763,1.137,0.9983,0.9343,0.8663
284,2F29_B,2915,5.3188,3.3472,2.0699,1.757,1.5834,1.5052,1.4416,1.4087,4.4384,2.7505,1.7813,1.4638,1.3312,1.1635,1.0699,1.0003,4.4384,2.7505,1.7813,1.4638,1.3312,1.1635,1.0699,1.0003,4.4384,2.7505,1.7813,1.4638,1.3312,1.1635,1.0699,1.0003
285,2F2L_A,1316,2.9306,1.7663,1.0442,0.8423,0.7394,0.696,0.6627,0.6405,2.65,1.6624,1.1195,0.9366,0.816,0.7644,0.7035,0.6827,2.65,1.6624,1.1195,0.9366,0.816,0.7644,0.7035,0.6827,2.65,1.6624,1.1195,0.9366,0.816,0.7644,0.7035,0.6827
286,2F51_A,856,1.9207,1.0956,0.6748,0.5087,0.4459,0.4239,0.4056,0.3854,1.8971,1.1697,0.8487,0.6966,0.6177,0.5709,0.5374,0.5332,1.8971,1.1697,0.8487,0.6966,0.6177,0.5709,0.5374,0.5332,1.8971,1.1697,0.8487,0.6966,0.6177,0.5709,0.5374,0.5332
287,2F5G_A,1081,3.4301,2.0338,1.2018,0.9227,0.7996,0.7446,0.7086,0.6748,3.0015,1.8636,1.2517,1.0562,0.9333,0.8647,0.8265,0.7839,3.0015,1.8636,1.2517,1.0562,0.9333,0.8647,0.8265,0.7839,3.0015,1.8636,1.2517,1.0562,0.9333,0.8647,0.8265,0.7839
288,2F6H_X,3161,8.5972,5.4858,3.5501,2.8462,2.5746,2.4364,2.4129,2.3801,6.442,4.0053,2.505,2.0447,1.8594,1.6632,1.5472,1.4864,6.442,4.0053,2.505,2.0447,1.8594,1.6632,1.5472,1.4864,6.442,4.0053,2.505,2.0447,1.8594,1.6632,1.5472,1.4864
289,2FA1_A,1252,3.4101,2.0682,1.2378,0.93,0.8055,0.7735,0.7502,0.7178,2.9503,1.8335,1.2274,1.0562,0.9156,0.9021,0.788,0.7462,2.9503,1.8335,1.2274,1.0562,0.9156,0.9021,0.788,0.7462,2.9503,1.8335,1.2274,1.0562,0.9156,0.9021,0.788,0.7462
290,2FIA_A,1319,3.0073,1.8291,1.1347,0.8859,0.8108,0.746,0.7108,0.6894,2.7225,1.6962,1.1412,0.9735,0.8497,0.7787,0.7295,0.7046,2.7225,1.6962,1.1412,0.9735,0.8497,0.7787,0.7295,0.7046,2.7225,1.6962,1.1412,0.9735,0.8497,0.7787,0.7295,0.7046
291,2FJC_F,1186,3.1155,1.8441,1.0983,0.8292,0.7637,0.6675,0.6404,0.6131,2.7746,1.7417,1.2089,0.9711,0.8524,0.793,0.7359,0.6947,2.7746,1.7417,1.2089,0.9711,0.8524,0.793,0.7359,0.6947,2.7746,1.7417,1.2089,0.9711,0.8524,0.793,0.7359,0.6947
292,2FKG_A,2407,8.9492,5.6482,3.441,2.7908,2.4639,2.328,2.2874,2.2717,6.8732,4.3781,3.1342,2.7308,2.0842,2.0825,1.8789,1.7575,6.8732,4.3781,3.1342,2.7308,2.0842,2.0825,1.8789,1.7575,6.8732,4.3781,3.1342,2.7308,2.0842,2.0825,1.8789,1.7575
293,2FKN_B,4213,8.0942,5.2122,3.6972,2.8552,2.609,2.5787,2.5379,2.478,6.0396,3.7272,2.4352,1.9972,1.7616,1.5671,1.4786,1.376,6.0396,3.7272,2.4352,1.9972,1.7616,1.5671,1.4786,1.376,6.0396,3.7272,2.4352,1.9972,1.7616,1.5671,1.4786,1.376
294,2FTX_A,690,2.4521,1.3658,0.7953,0.5516,0.5001,0.4684,0.444,0.4259,2.2176,1.3643,0.9394,0.7779,0.7144,0.6726,0.6228,0.5954,2.2176,1.3643,0.9394,0.7779,0.7144,0.6726,0.6228,0.5954,2.2176,1.3643,0.9394,0.7779,0.7144,0.6726,0.6228,0.5954
295,2FU4_A,641,1.8222,1.0095,0.6013,0.4241,0.3789,0.3537,0.3337,0.3178,1.737,1.0736,0.7586,0.6471,0.5765,0.5462,0.5193,0.5044,1.737,1.0736,0.7586,0.6471,0.5765,0.5462,0.5193,0.5044,1.737,1.0736,0.7586,0.6471,0.5765,0.5462,0.5193,0.5044
296,2FUR_A,1487,4.7912,2.8832,1.6123,1.3116,1.1573,1.0644,1.0018,0.9377,3.9203,2.5336,1.6896,1.487,1.2989,1.1657,1.0667,1.0256,3.9203,2.5336,1.6896,1.487,1.2989,1.1657,1.0667,1.0256,3.9203,2.5336,1.6896,1.487,1.2989,1.1657,1.0667,1.0256
297,2G0B_A,1461,3.2942,1.9968,1.1828,0.9506,0.8439,0.8007,0.7659,0.7369,2.9542,1.8313,1.2279,1.0459,0.9191,0.8428,0.7822,0.7351,2.9542,1.8313,1.2279,1.0459,0.9191,0.8428,0.7822,0.7351,2.9542,1.8313,1.2279,1.0459,0.9191,0.8428,0.7822,0.7351
298,2G0D_A,3222,7.5372,4.9269,3.2596,2.6839,2.474,2.4311,2.3484,2.2905,5.6014,3.4878,2.3329,1.9722,1.731,1.5036,1.3995,1.2879,5.6014,3.4878,2.3329,1.9722,1.731,1.5036,1.3995,1.2879,5.6014,3.4878,2.3329,1.9722,1.731,1.5036,1.3995,1.2879
299,2G38_A,579,2.2666,1.2671,0.7071,0.5188,0.4434,0.4344,0.408,0.3911,2.1538,1.3157,0.8955,0.7697,0.6931,0.6406,0.6201,0.5967,2.1538,1.3157,0.8955,0.7697,0.6931,0.6406,0.6201,0.5967,2.1538,1.3157,0.8955,0.7697,0.6931,0.6406,0.6201,0.5967
300,2G3N_D,5676,12.6712,8.5276,6.1298,5.4037,5.1382,4.8539,4.784,4.8266,8.6237,5.2304,3.3061,2.8305,2.4961,2.2846,2.1468,2.0076,8.6237,5.2304,3.3061,2.8305,2.4961,2.2846,2.1468,2.0076,8.6237,5.2304,3.3061,2.8305,2.4961,2.2846,2.1468,2.0076
301,2GC7_B,953,2.6856,1.5748,0.9382,0.7168,0.6183,0.5795,0.5552,0.5278,2.3934,1.4922,1.0527,0.8844,0.7679,0.7123,0.6828,0.6371,2.3934,1.4922,1.0527,0.8844,0.7679,0.7123,0.6828,0.6371,2.3934,1.4922,1.0527,0.8844,0.7679,0.7123,0.6828,0.6371
302,2GEY_A,1250,4.5395,2.755,1.5646,1.217,1.0471,0.9686,0.9116,0.8512,3.8217,2.4139,1.644,1.4668,1.3387,1.2077,1.1645,1.0954,3.8217,2.4139,1.644,1.4668,1.3387,1.2077,1.1645,1.0954,3.8217,2.4139,1.644,1.4668,1.3387,1.2077,1.1645,1.0954
303,2GGO_A,3140,6.3382,4.0309,2.5267,2.0436,1.9585,1.8663,1.813,1.7533,4.9621,3.095,2.0391,1.6596,1.4613,1.2887,1.1964,1.1292,4.9621,3.095,2.0391,1.6596,1.4613,1.2887,1.1964,1.1292,4.9621,3.095,2.0391,1.6596,1.4613,1.2887,1.1964,1.1292
304,2GLF_A,3525,8.2803,5.3853,3.7584,2.9144,2.7147,2.5961,2.614,2.5687,6.0891,3.8386,2.4358,2.0224,1.7788,1.5682,1.4651,1.3952,6.0891,3.8386,2.4358,2.0224,1.7788,1.5682,1.4651,1.3952,6.0891,3.8386,2.4358,2.0224,1.7788,1.5682,1.4651,1.3952
305,2GMF_A,971,2.6714,1.5885,0.9618,0.6846,0.6435,0.5964,0.5794,0.5571,2.4191,1.4903,1.0285,0.8548,0.7547,0.7147,0.6801,0.6324,2.4191,1.4903,1.0285,0.8548,0.7547,0.7147,0.6801,0.6324,2.4191,1.4903,1.0285,0.8548,0.7547,0.7147,0.6801,0.6324
306,2GP4_A,3877,8.7936,5.9129,4.1073,3.4083,3.1517,3.0382,3.0147,2.9478,6.3299,4.0089,2.5887,2.2451,1.926,1.7319,1.5806,1.5035,6.3299,4.0089,2.5887,2.2451,1.926,1.7319,1.5806,1.5035,6.3299,4.0089,2.5887,2.2451,1.926,1.7319,1.5806,1.5035
307,2GPJ_A,1906,4.4824,2.7852,1.691,1.3826,1.2212,1.1863,1.1394,1.09,3.6795,2.2991,1.5246,1.2682,1.1481,1.0575,0.997,0.9288,3.6795,2.2991,1.5246,1.2682,1.1481,1.0575,0.997,0.9288,3.6795,2.2991,1.5246,1.2682,1.1481,1.0575,0.997,0.9288
308,2H0R_C,1762,4.1138,2.5589,1.5577,1.2649,1.1266,1.0624,1.0298,0.996,3.408,2.1174,1.4152,1.2229,1.0829,0.9797,0.9332,0.8735,3.408,2.1174,1.4152,1.2229,1.0829,0.9797,0.9332,0.8735,3.408,2.1174,1.4152,1.2229,1.0829,0.9797,0.9332,0.8735
309,2H2W_A,2373,5.2593,3.3306,2.067,1.7979,1.6173,1.5434,1.487,1.4381,4.1556,2.6122,1.6931,1.4043,1.2539,1.1494,1.0591,0.9826,4.1556,2.6122,1.6931,1.4043,1.2539,1.1494,1.0591,0.9826,4.1556,2.6122,1.6931,1.4043,1.2539,1.1494,1.0591,0.9826
310,2H6N_B,2363,4.3957,2.8034,1.7464,1.4756,1.334,1.2685,1.2203,1.1825,3.6712,2.2693,1.4607,1.2214,1.1051,1.0054,0.9138,0.8599,3.6712,2.2693,1.4607,1.2214,1.1051,1.0054,0.9138,0.8599,3.6712,2.2693,1.4607,1.2214,1.1051,1.0054,0.9138,0.8599
311,2HBW_A,1670,4.0204,2.4803,1.4504,1.1924,1.0733,1.0117,0.9697,0.9186,3.4099,2.1668,1.4307,1.209,1.0931,0.9932,0.9015,0.854,3.4099,2.1668,1.4307,1.209,1.0931,0.9932,0.9015,0.854,3.4099,2.1668,1.4307,1.209,1.0931,0.9932,0.9015,0.854
312,2HCF_A,1740,3.7954,2.3035,1.4004,1.1051,0.9693,0.9128,0.8789,0.8522,3.2353,1.9971,1.3266,1.1407,1.0195,0.9294,0.8727,0.8309,3.2353,1.9971,1.3266,1.1407,1.0195,0.9294,0.8727,0.8309,3.2353,1.9971,1.3266,1.1407,1.0195,0.9294,0.8727,0.8309
313,2HD5_A,2524,6.0131,3.8417,2.5432,1.9516,1.8375,1.7534,1.6952,1.6422,4.7188,2.9278,1.9157,1.6112,1.4139,1.2849,1.2037,1.1382,4.7188,2.9278,1.9157,1.6112,1.4139,1.2849,1.2037,1.1382,4.7188,2.9278,1.9157,1.6112,1.4139,1.2849,1.2037,1.1382
314,2HJE_A,1664,4.2774,2.6481,1.6046,1.2742,1.169,1.1141,1.0686,1.0261,3.5691,2.2411,1.4677,1.2306,1.1163,1.0105,0.9295,0.8869,3.5691,2.2411,1.4677,1.2306,1.1163,1.0105,0.9295,0.8869,3.5691,2.2411,1.4677,1.2306,1.1163,1.0105,0.9295,0.8869
315,2HLD_H,758,2.951,1.7414,0.9688,0.7599,0.6352,0.5858,0.557,0.5317,2.6002,1.6156,1.0981,0.9572,0.84,0.779,0.7358,0.6889,2.6002,1.6156,1.0981,0.9572,0.84,0.779,0.7358,0.6889,2.6002,1.6156,1.0981,0.9572,0.84,0.779,0.7358,0.6889
316,2HPS_A,1430,3.1802,1.9097,1.1753,0.8832,0.7768,0.7284,0.702,0.6764,2.8622,1.804,1.2269,1.0005,0.8802,0.8317,0.7875,0.7539,2.8622,1.804,1.2269,1.0005,0.8802,0.8317,0.7875,0.7539,2.8622,1.804,1.2269,1.0005,0.8802,0.8317,0.7875,0.7539
317,2HQ6_A,1333,3.232,1.9397,1.1985,0.9041,0.7938,0.7473,0.7155,0.6911,2.7966,1.762,1.2395,0.984,0.8858,0.8293,0.7628,0.7207,2.7966,1.762,1.2395,0.984,0.8858,0.8293,0.7628,0.7207,2.7966,1.762,1.2395,0.984,0.8858,0.8293,0.7628,0.7207
318,2HQL_A,880,3.7404,2.1869,1.223,0.9584,0.8059,0.746,0.6983,0.6583,3.175,2.0159,1.3651,1.194,1.0106,0.94,0.8801,0.8247,3.175,2.0159,1.3651,1.194,1.0106,0.94,0.8801,0.8247,3.175,2.0159,1.3651,1.194,1.0106,0.94,0.8801,0.8247
319,2HS5_A,1616,4.0356,2.4933,1.5039,1.2213,1.0706,1.0118,0.9583,0.9245,3.3786,2.1382,1.4144,1.21,1.0878,0.9711,0.8903,0.8481,3.3786,2.1382,1.4144,1.21,1.0878,0.9711,0.8903,0.8481,3.3786,2.1382,1.4144,1.21,1.0878,0.9711,0.8903,0.8481
320,2HSN_A,1239,4.9405,2.9888,1.6997,1.4351,1.3503,1.2489,1.1624,1.0893,4.1477,2.6874,1.8231,1.5387,1.3718,1.2358,1.1304,1.046,4.1477,2.6874,1.8231,1.5387,1.3718,1.2358,1.1304,1.046,4.1477,2.6874,1.8231,1.5387,1.3718,1.2358,1.1304,1.046
